Sample,Feature,Celltype,Prediction
NB849,Manual,1,0.995003989797903
NB849,Manual,1,0.7940782024489607
NB849,Manual,1,0.977805700015282
NB849,Manual,1,0.9934571395640038
NB849,Manual,1,0.9977370820221386
NB849,Manual,1,0.9402455681989219
NB849,Manual,1,0.9453942889156347
NB849,Manual,1,0.9955017564158171
NB849,Manual,1,0.9943712352399388
NB849,Manual,1,0.9813732075274829
NB849,Manual,1,0.9728979527721936
NB849,Manual,1,0.9721907588138664
NB849,Manual,1,0.9794291385173061
NB849,Manual,1,0.9978613399440618
NB849,Manual,1,0.9649969635647014
NB849,Manual,1,0.7975178047088439
NB849,Manual,1,0.9920128449998424
NB849,Manual,1,0.9905382811709819
NB849,Manual,1,0.9698944318452428
NB849,Manual,1,0.9739599973324173
NB849,Manual,1,0.9990465740618494
NB849,Manual,1,0.9395196444629058
NB849,Manual,1,0.9985588757480057
NB849,Manual,1,0.99855737014449375
NB849,Manual,1,0.8454434534124003
NB849,Manual,1,0.9587998024075874
NB849,Manual,1,0.9978219817401348
NB849,Manual,1,0.9883717770808816
NB849,Manual,1,0.9525165735850459
NB849,Manual,1,0.8314959282497143
NB849,Manual,1,0.9937711262923457
NB849,Manual,1,0.9367725044695138
NB849,Manual,1,0.7843598804737318
NB849,Manual,1,0.9974364924125431
NB849,Manual,1,0.9974070146830071
NB849,Manual,1,0.9934037428618187
NB849,Manual,0,0.050997071218610426
NB849,Manual,0,0.1129599953248735
NB849,Manual,0,0.598278594742675
NB849,Manual,0,0.018680197396823153
NB849,Manual,0,0.06801379343178982
NB849,Manual,0,0.034700730294725736
NB849,Manual,0,0.005922353586954155
NB849,Manual,0,0.05118512265183938
NB849,Manual,0,0.09825473293556361
NB849,Manual,0,0.06854083429697848
NB849,Manual,0,0.008717581352226424
NB849,Manual,0,0.4915834832035872
NB849,Manual,0,0.09427700021769683
NB849,Manual,0,0.16507331457707383
NB849,Manual,0,0.03557857775918587
NB849,Manual,0,0.019037152763782296
NB849,Manual,0,0.014391946788369005
NB849,Manual,0,0.10378647663318481
NB849,Manual,0,0.01209410785014389
NB849,Manual,0,0.015855713345418677
NB849,Manual,0,0.0329836376533757
NB849,Manual,0,0.035580838608292094
NB849,Manual,0,0.07423298525798373
NB849,Manual,0,0.15867587915686515
NB849,Manual,0,0.9103983876629215
NB849,Manual,0,0.04421996264001572
NB849,Manual,0,0.12713313725298717
NB849,Manual,0,0.43487063803959336
NB849,Manual,0,0.2628754556251515
NB849,Manual,0,0.1429024482911348
