Sample,Feature,Celltype,Prediction
T214,Manual,1,0.9834865305200533
T214,Manual,1,0.9789831035721498
T214,Manual,1,0.9936326569169582
T214,Manual,1,0.9929646888679884
T214,Manual,1,0.9786552907144713
T214,Manual,1,0.9949890047007867
T214,Manual,1,0.9699088218983819
T214,Manual,1,0.9893341794449917
T214,Manual,1,0.9846038956037725
T214,Manual,1,0.9984564417211701
T214,Manual,1,0.9864379812647491
T214,Manual,1,0.9607059194587211
T214,Manual,1,0.995707258866463
T214,Manual,1,0.9986254543456456
T214,Manual,1,0.9943876446831381
T214,Manual,1,0.9502316602690426
T214,Manual,1,0.9434535901808142
T214,Manual,1,0.9983043947204691
T214,Manual,1,0.8737133590017196
T214,Manual,1,0.9619275390352843
T214,Manual,1,0.9820356711403053
T214,Manual,1,0.9918764486854595
T214,Manual,1,0.9900674807206525
T214,Manual,1,0.9675789685574921
T214,Manual,1,0.8944411261528568
T214,Manual,1,0.977302659307859
T214,Manual,1,0.9867042851457274
T214,Manual,1,0.9809399298553135
T214,Manual,1,0.9556333726600929
T214,Manual,1,0.9919499324698072
T214,Manual,1,0.9898032650595164
T214,Manual,1,0.996457935465004
T214,Manual,1,0.9866613845274432
T214,Manual,1,0.9821650731754283
T214,Manual,1,0.984057872504206
T214,Manual,1,0.9923123270216051
T214,Manual,1,0.9367728052838532
T214,Manual,1,0.9853026219024699
T214,Manual,1,0.988875738131661
T214,Manual,1,0.9923747714232758
T214,Manual,1,0.9682774493595675
T214,Manual,1,0.9529591736804353
T214,Manual,1,0.9743778044152367
T214,Manual,1,0.9827610714069511
T214,Manual,1,0.9991375356255932
T214,Manual,1,0.9880123851777886
T214,Manual,1,0.9541397289218732
T214,Manual,1,0.9799093798404459
T214,Manual,1,0.9943627544656819
T214,Manual,1,0.9968126144374684
T214,Manual,1,0.9724707103390468
T214,Manual,1,0.9662552426877538
T214,Manual,1,0.9949379469247547
T214,Manual,1,0.9899571910102769
T214,Manual,1,0.9872376368448778
T214,Manual,1,0.9974209508418422
T214,Manual,1,0.978714568868101
T214,Manual,1,0.9697684376218291
T214,Manual,1,0.9190286412766274
T214,Manual,1,0.981121562246884
T214,Manual,1,0.9850083356680867
T214,Manual,1,0.9929604417625124
T214,Manual,1,0.9910660836499721
T214,Manual,1,0.9866754547761311
T214,Manual,1,0.9888194917815727
T214,Manual,1,0.9960407396738014
T214,Manual,1,0.9970751767270021
T214,Manual,1,0.9750067854453834
T214,Manual,1,0.98502470119154
T214,Manual,1,0.9965230533970443
T214,Manual,1,0.9941332494247361
T214,Manual,1,0.9597554720445708
T214,Manual,1,0.99633638457215
T214,Manual,1,0.99910372378782
T214,Manual,1,0.9711437535778932
T214,Manual,1,0.9841333347921662
T214,Manual,1,0.9871982892261986
T214,Manual,1,0.9856870793560863
T214,Manual,1,0.9927584115342327
T214,Manual,1,0.9932802275205221
T214,Manual,1,0.9921637962071315
T214,Manual,1,0.996513852269779
T214,Manual,1,0.968231110790299
T214,Manual,1,0.9797754689493664
T214,Manual,1,0.9668271028285368
T214,Manual,1,0.9968067709400563
T214,Manual,1,0.9851341460318837
T214,Manual,1,0.9814890812939546
T214,Manual,1,0.9753491203138558
T214,Manual,1,0.9891387345970651
T214,Manual,1,0.9928498983096068
T214,Manual,1,0.9874241022429912
T214,Manual,1,0.9770908273125203
T214,Manual,1,0.9917050335152807
T214,Manual,1,0.9767401177796489
T214,Manual,1,0.9602741817721937
T214,Manual,1,0.9894270294080076
T214,Manual,1,0.9298055721128193
T214,Manual,1,0.9726984387500038
T214,Manual,1,0.9769138291297795
T214,Manual,1,0.976036520531888
T214,Manual,1,0.9924287011356969
T214,Manual,1,0.9970446180041973
T214,Manual,1,0.9918395731924097
T214,Manual,1,0.9896325853065963
T214,Manual,1,0.9878973652251055
T214,Manual,1,0.9789776421855939
T214,Manual,1,0.993662731021002
T214,Manual,1,0.9982266045041724
T214,Manual,1,0.992555874606741
T214,Manual,1,0.9844730023968142
T214,Manual,1,0.9895251318127557
T214,Manual,1,0.9896471740633398
T214,Manual,1,0.9873527502273494
T214,Manual,1,0.9648103323736991
T214,Manual,1,0.959046068459495
T214,Manual,1,0.9631973357315755
T214,Manual,1,0.9911506693064899
T214,Manual,1,0.9736621492127526
T214,Manual,1,0.9932862380703611
T214,Manual,1,0.9956815257774216
T214,Manual,1,0.9963013586373966
T214,Manual,1,0.9987221841902826
T214,Manual,1,0.28757894336510903
T214,Manual,1,0.9923776537881016
T214,Manual,1,0.9820190989287694
T214,Manual,1,0.9968040270668611
T214,Manual,1,0.9446555795310473
T214,Manual,1,0.9787318785634269
T214,Manual,1,0.9922461693311713
T214,Manual,1,0.9642686727490737
T214,Manual,1,0.9956671097798264
T214,Manual,1,0.9929469740194459
T214,Manual,1,0.9334051828175187
T214,Manual,1,0.9877109611400784
T214,Manual,1,0.9840496756550845
T214,Manual,1,0.9981163437612908
T214,Manual,1,0.9818889159717866
T214,Manual,1,0.9875815881427692
T214,Manual,1,0.9894484165105875
T214,Manual,1,0.9961964454353581
T214,Manual,1,0.9937773671699708
T214,Manual,1,0.9450256269616574
T214,Manual,1,0.9564628532404759
T214,Manual,1,0.9864684601830128
T214,Manual,1,0.9923162398196483
T214,Manual,1,0.99621302178592
T214,Manual,1,0.9786635224346079
T214,Manual,1,0.9367678127902292
T214,Manual,1,0.9909488770550058
T214,Manual,1,0.6086810151261571
T214,Manual,1,0.9922674862117961
T214,Manual,1,0.9702248853391785
T214,Manual,1,0.9746259545161253
T214,Manual,1,0.9940833673177134
T214,Manual,1,0.9828967525645185
T214,Manual,1,0.9951115999966808
T214,Manual,1,0.9328081264447176
T214,Manual,1,0.9882980480510087
T214,Manual,1,0.9962270560840434
T214,Manual,1,0.987991334515467
T214,Manual,1,0.992558325700576
T214,Manual,1,0.9982176801641749
T214,Manual,1,0.9972414216356504
T214,Manual,1,0.9872197737308177
T214,Manual,1,0.9901370160202566
T214,Manual,1,0.9991451896108857
T214,Manual,1,0.9761151011173556
T214,Manual,1,0.9867527347915421
T214,Manual,1,0.9905134736229271
T214,Manual,1,0.9782659612156711
T214,Manual,1,0.9726499927052804
T214,Manual,1,0.981130416649692
T214,Manual,1,0.9722856875532124
T214,Manual,1,0.9321371921445945
T214,Manual,1,0.4930497585309818
T214,Manual,1,0.9791577439801159
T214,Manual,1,0.9159665727453362
T214,Manual,1,0.9968589452107368
T214,Manual,1,0.9889944421016502
T214,Manual,1,0.992533909513998
T214,Manual,1,0.9975036184259789
T214,Manual,1,0.9737097028841272
T214,Manual,1,0.9922834458800435
T214,Manual,1,0.9647617360872883
T214,Manual,1,0.8687658684270799
T214,Manual,1,0.99091274880699
T214,Manual,1,0.9805768590606847
T214,Manual,1,0.9731187052575521
T214,Manual,1,0.9868461829662204
T214,Manual,1,0.9955848911696575
T214,Manual,1,0.8809567083702613
T214,Manual,1,0.9816690232193631
T214,Manual,1,0.9718755447074254
T214,Manual,1,0.9077587030356381
T214,Manual,1,0.9942220217886255
T214,Manual,1,0.9874656777408916
T214,Manual,1,0.9946034082485864
T214,Manual,1,0.9356448428034149
T214,Manual,1,0.9778155921650505
T214,Manual,1,0.9908161904564509
T214,Manual,1,0.9868692443149646
T214,Manual,1,0.9897604300098506
T214,Manual,1,0.9879122299551101
T214,Manual,1,0.9217912293058955
T214,Manual,1,0.9720560596208991
T214,Manual,1,0.6097259954235619
T214,Manual,1,0.9942752151272819
T214,Manual,1,0.9629682452628433
T214,Manual,1,0.9989387611250593
T214,Manual,1,0.9908082263419171
T214,Manual,1,0.9918355804480398
T214,Manual,1,0.9702165288606638
T214,Manual,1,0.9940386028733815
T214,Manual,1,0.9863898535669294
T214,Manual,1,0.9892665532128754
T214,Manual,1,0.987900729173501
T214,Manual,1,0.9813024138963219
T214,Manual,1,0.9576085537317117
T214,Manual,1,0.9602561022810656
T214,Manual,1,0.9861409506915538
T214,Manual,1,0.9939938614329957
T214,Manual,1,0.9971245244812915
T214,Manual,1,0.9846267601953772
T214,Manual,1,0.9952240306549858
T214,Manual,1,0.9897912433005452
T214,Manual,1,0.9923911607472404
T214,Manual,1,0.9493549526957156
T214,Manual,1,0.9988917367224509
T214,Manual,1,0.9960303313914937
T214,Manual,1,0.9479738939882595
T214,Manual,1,0.9874574083896752
T214,Manual,1,0.9488590815464056
T214,Manual,1,0.9988663666817015
